_Y5_1,_Y5_2,_Y5_3,_Y5_4,_Y5_5,_age5grp,_male,_U5UK,_EUUKcopula
1,1,1,1,1,18-34,1,1,.9866515492185578
1,1,1,1,2,18-34,1,.922,.8930711472656908
1,1,1,1,3,18-34,1,.896,.8198560788982368
1,1,1,1,4,18-34,1,.7150000000000001,.5942769441035793
1,1,1,1,5,18-34,1,.7110000000000001,.4274967839673231
1,1,1,2,1,18-34,1,.9370000000000001,.8762842465778183
1,1,1,2,2,18-34,1,.8590000000000001,.8050874807625952
1,1,1,2,3,18-34,1,.8330000000000001,.7476727336305369
1,1,1,2,4,18-34,1,.6520000000000001,.5203501686376201
1,1,1,2,5,18-34,1,.6480000000000001,.344787546666828
1,1,1,3,1,18-34,1,.916,.8123595167197314
1,1,1,3,2,18-34,1,.8380000000000001,.7394272254047699
1,1,1,3,3,18-34,1,.8120000000000001,.6825528592400619
1,1,1,3,4,18-34,1,.631,.4603539004966984
1,1,1,3,5,18-34,1,.627,.2832437712608023
1,1,1,4,1,18-34,1,.724,.873379054633173
1,1,1,4,2,18-34,1,.646,.7699478156342376
1,1,1,4,3,18-34,1,.62,.6815608410146038
1,1,1,4,4,18-34,1,.439,.4344295267556853
1,1,1,4,5,18-34,1,.435,.2492559691919344
1,1,1,5,1,18-34,1,.665,.8743557998192834
1,1,1,5,2,18-34,1,.5870000000000001,.7777823196075291
1,1,1,5,3,18-34,1,.5610000000000001,.704334711811329
1,1,1,5,4,18-34,1,.3800000000000001,.4631597891501086
1,1,1,5,5,18-34,1,.3760000000000001,.276905306186946
1,1,2,1,1,18-34,1,.95,.9324404126328397
1,1,2,1,2,18-34,1,.872,.8562443957043583
1,1,2,1,3,18-34,1,.846,.7921205182065537
1,1,2,1,4,18-34,1,.665,.5653433472334282
1,1,2,1,5,18-34,1,.661,.3842449155855421
1,1,2,2,1,18-34,1,.887,.8128904525809289
1,1,2,2,2,18-34,1,.8090000000000001,.7566624894592597
1,1,2,2,3,18-34,1,.783,.7007337774041361
1,1,2,2,4,18-34,1,.6020000000000001,.4791354415809883
1,1,2,2,5,18-34,1,.5980000000000001,.2965576101245582
1,1,2,3,1,18-34,1,.866,.7234906338623849
1,1,2,3,2,18-34,1,.788,.6814478310886919
1,1,2,3,3,18-34,1,.762,.6349124071770957
1,1,2,3,4,18-34,1,.581,.4262229455057524
1,1,2,3,5,18-34,1,.577,.2467812760422944
1,1,2,4,1,18-34,1,.6739999999999999,.7061979699795358
1,1,2,4,2,18-34,1,.596,.6594332157730923
1,1,2,4,3,18-34,1,.57,.599215135186261
1,1,2,4,4,18-34,1,.389,.3889186042413444
1,1,2,4,5,18-34,1,.385,.2099141859404945
1,1,2,5,1,18-34,1,.615,.735470886221029
1,1,2,5,2,18-34,1,.537,.6858427193930801
1,1,2,5,3,18-34,1,.511,.6266700342725399
1,1,2,5,4,18-34,1,.33,.406681009549762
1,1,2,5,5,18-34,1,.326,.217391324476295
1,1,3,1,1,18-34,1,.9370000000000001,.9251788046275344
1,1,3,1,2,18-34,1,.8590000000000001,.831602775906785
1,1,3,1,3,18-34,1,.8330000000000001,.7538086682094881
1,1,3,1,4,18-34,1,.6520000000000001,.5294280386590745
1,1,3,1,5,18-34,1,.6480000000000001,.3437657661207674
1,1,3,2,1,18-34,1,.8740000000000001,.77330734129301
1,1,3,2,2,18-34,1,.7960000000000002,.7229086814615834
1,1,3,2,3,18-34,1,.7700000000000001,.6701944792989186
1,1,3,2,4,18-34,1,.5890000000000002,.4583073097007738
1,1,3,2,5,18-34,1,.5850000000000002,.2756452747632554
1,1,3,3,1,18-34,1,.8530000000000001,.6918336023719999
1,1,3,3,2,18-34,1,.7750000000000001,.65325209416758
1,1,3,3,3,18-34,1,.7490000000000001,.6004808738478399
1,1,3,3,4,18-34,1,.5680000000000001,.4044666921801586
1,1,3,3,5,18-34,1,.5640000000000001,.2282038879428324
1,1,3,4,1,18-34,1,.661,.544469183463948
1,1,3,4,2,18-34,1,.5830000000000001,.5088022086957988
1,1,3,4,3,18-34,1,.5570000000000001,.443400981012396
1,1,3,4,4,18-34,1,.3760000000000001,.2787446126121698
1,1,3,4,5,18-34,1,.3720000000000001,.1297757931362851
1,1,3,5,1,18-34,1,.6020000000000001,.561789341677746
1,1,3,5,2,18-34,1,.5240000000000001,.5216087299456709
1,1,3,5,3,18-34,1,.4980000000000001,.4102923526544061
1,1,3,5,4,18-34,1,.3170000000000001,.2182012765919265
1,1,3,5,5,18-34,1,.3130000000000001,.0599633633225706
1,1,4,1,1,18-34,1,.838,.9516008486893413
1,1,4,1,2,18-34,1,.76,.8595116494928931
1,1,4,1,3,18-34,1,.734,.7548038565448125
1,1,4,1,4,18-34,1,.5529999999999999,.5016356826839717
1,1,4,1,5,18-34,1,.5489999999999999,.3118390552943745
1,1,4,2,1,18-34,1,.7749999999999999,.8222947818598501
1,1,4,2,2,18-34,1,.697,.7591393091955175
1,1,4,2,3,18-34,1,.6709999999999999,.6865715371685359
1,1,4,2,4,18-34,1,.4899999999999999,.4617468442752535
1,1,4,2,5,18-34,1,.4859999999999999,.277967588913998
